state,lat,long,p_biden,group,p(biden)
Alabama (9),31.89082908630371,-88.47614288330078,0.049,1,0.05
Alabama (9),32.22314453125,-88.43030548095703,0.049,1,0.05
Alabama (9),32.30908966064453,-88.43030548095703,0.049,1,0.05
Alabama (9),32.5783805847168,-88.39020538330078,0.049,1,0.05
Alabama (9),32.92215347290039,-88.35009765625,0.049,1,0.05
Alabama (9),32.98517990112305,-88.33863067626953,0.049,1,0.05
Alabama (9),33.283119201660156,-88.29853057861328,0.049,1,0.05
Alabama (9),33.52949142456055,-88.275604248046875,0.049,1,0.05
Alabama (9),33.735755920410156,-88.25269317626953,0.049,1,0.05
Alabama (9),34.062339782714844,-88.20685577392578,0.049,1,0.05
Alabama (9),34.07952880859375,-88.20685577392578,0.049,1,0.05
Alabama (9),34.3144416809082,-88.1839370727539,0.049,1,0.05
Alabama (9),34.463409423828125,-88.166748046875,0.049,1,0.05
Alabama (9),34.58373260498047,-88.14955139160156,0.049,1,0.05
Alabama (9),34.89885711669922,-88.10944366455078,0.049,1,0.05
Alabama (9),34.90459060668945,-88.13236999511719,0.049,1,0.05
Alabama (9),34.9504280090332,-88.166748046875,0.049,1,0.05
Alabama (9),34.99626541137695,-88.18965911865234,0.049,1,0.05
Alabama (9),35.013450622558594,-88.1839370727539,0.049,1,0.05
Alabama (9),35.013450622558594,-87.98912811279297,0.049,1,0.05
Alabama (9),35.007720947265625,-87.6052474975586,0.049,1,0.05
Alabama (9),35.001991271972656,-87.22709655761719,0.049,1,0.05
Alabama (9),35.001991271972656,-87.20417022705078,0.049,1,0.05
Alabama (9),34.99626541137695,-86.8260269165039,0.049,1,0.05
Alabama (9),34.99053192138672,-86.78018951416016,0.049,1,0.05
Alabama (9),34.99053192138672,-86.31036376953125,0.049,1,0.05
Alabama (9),34.98480224609375,-85.85199737548828,0.049,1,0.05
Alabama (9),34.97907257080078,-85.6113510131836,0.049,1,0.05
Alabama (9),34.8415641784668,-85.58843994140625,0.049,1,0.05
Alabama (9),34.61811065673828,-85.5426025390625,0.049,1,0.05
Alabama (9),34.58373260498047,-85.52540588378906,0.049,1,0.05
Alabama (9),34.262874603271484,-85.4681167602539,0.049,1,0.05
Alabama (9),34.07952880859375,-85.428009033203125,0.049,1,0.05
Alabama (9),33.95920944213867,-85.40509033203125,0.049,1,0.05
Alabama (9),33.90764236450195,-85.39363098144531,0.049,1,0.05
Alabama (9),33.66127014160156,-85.34779357910156,0.049,1,0.05
Alabama (9),33.49510955810547,-85.31341552734375,0.049,1,0.05
Alabama (9),33.432090759277344,-85.29622650146484,0.049,1,0.05
Alabama (9),33.11696243286133,-85.244659423828125,0.049,1,0.05
Alabama (9),33.105499267578125,-85.23892974853516,0.049,1,0.05
Alabama (9),32.87059020996094,-85.1930923461914,0.049,1,0.05
Alabama (9),32.859127044677734,-85.1930923461914,0.049,1,0.05
Alabama (9),32.841941833496094,-85.17018127441406,0.049,1,0.05
Alabama (9),32.790374755859375,-85.14725494384766,0.049,1,0.05
Alabama (9),32.7674560546875,-85.13007354736328,0.049,1,0.05
Alabama (9),32.750267028808594,-85.13007354736328,0.049,1,0.05
Alabama (9),32.73308181762695,-85.12434387207031,0.049,1,0.05
Alabama (9),32.67578125,-85.1014175415039,0.049,1,0.05
Alabama (9),32.63567352294922,-85.1014175415039,0.049,1,0.05
Alabama (9),32.60702896118164,-85.0670394897461,0.049,1,0.05
Alabama (9),32.55546188354492,-85.04985809326172,0.049,1,0.05
Alabama (9),32.526817321777344,-85.00975036621094,0.049,1,0.05
Alabama (9),32.498165130615234,-84.98683166503906,0.049,1,0.05
Alabama (9),32.46951675415039,-84.99256134033203,0.049,1,0.05
Alabama (9),32.423683166503906,-84.975372314453125,0.049,1,0.05
Alabama (9),32.377845764160156,-84.98109436035156,0.049,1,0.05
Alabama (9),32.337738037109375,-85.00402069091797,0.049,1,0.05
Alabama (9),32.30908966064453,-84.975372314453125,0.049,1,0.05
Alabama (9),32.28044128417969,-84.9238052368164,0.049,1,0.05
Alabama (9),32.251792907714844,-84.90088653564453,0.049,1,0.05
Alabama (9),32.2346076965332,-84.929534912109375,0.049,1,0.05
Alabama (9),32.22887420654297,-84.95245361328125,0.049,1,0.05
Alabama (9),32.200225830078125,-84.96964263916016,0.049,1,0.05
Alabama (9),32.18303680419922,-84.99256134033203,0.049,1,0.05
Alabama (9),32.160118103027344,-85.04985809326172,0.049,1,0.05
Alabama (9),32.12001419067383,-85.061309814453125,0.049,1,0.05
Alabama (9),32.10282516479492,-85.061309814453125,0.049,1,0.05
Alabama (9),32.085636138916016,-85.061309814453125,0.049,1,0.05
Alabama (9),32.06271743774414,-85.061309814453125,0.049,1,0.05
Alabama (9),32.028343200683594,-85.061309814453125,0.049,1,0.05
Alabama (9),31.993961334228516,-85.061309814453125,0.049,1,0.05
Alabama (9),31.959585189819336,-85.07850646972656,0.049,1,0.05
Alabama (9),31.93666648864746,-85.107147216796875,0.049,1,0.05
Alabama (9),31.8679141998291,-85.14152526855469,0.049,1,0.05
